77,82,89
8,92,80
100,55,48
24,90,2
51,78,31
1,63,58
27,27,43
4,82,31
47,66,85
85,29,39
36,40,53
77,97,74
56,43,96
17,70,6
86,19,77
64,96,74
86,16,23
15,34,38
11,26,79
75,68,37
77,8,79
61,96,93
86,55,66
2,57,15
82,35,20
58,36,81
24,46,15
81,18,38
66,27,36
43,31,70
69,86,10
26,6,12
89,64,19
10,61,71
65,96,82
64,59,90
70,45,85
65,21,26
36,51,57
34,35,71
41,50,89
22,37,46
65,54,35
21,71,16
83,68,26
28,17,61
53,7,92
63,17,54
13,40,35
84,91,76
88,83,17
48,17,18
15,47,11
78,29,62
45,41,37
61,9,72
88,22,45
43,28,12
43,70,66
28,49,100
64,11,50
5,22,55
26,60,90
53,36,81
77,6,4
53,94,19
27,59,46
80,70,7
22,57,17
96,72,30
25,84,62
77,41,59
97,56,50
11,100,83
34,88,5
68,59,61
67,69,62
66,51,26
97,24,57
87,24,74
23,75,59
49,43,98
55,8,37
74,95,80
10,70,58
18,99,20
75,23,98
52,69,83
18,27,59
74,16,38
90,98,56
5,30,73
54,35,92
47,11,68
18,55,24
23,13,17
19,7,72
48,29,46
5,3,52
90,22,93
